ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΔΡΙΤΣΕΛΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΞΑΦΟΣ ΑΘΑΝΑΣΙΟΣ του Αγγελου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Αποστόλου,ΣΙΜΟΡΕΛΗΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΣΤΑΜΟΥ ΔΗΜΗΤΡΙΟΣ του Σωτηρίου,ΧΑΡΤΟΠΟΥΛΟΥ ΠΕΡΙΣΤΕΡΑ (ΠΕΡΥ) του Μενέλαου,Νέα Δημοκρατία,ΒΛΑΧΟΓΙΑΝΝΗΣ ΗΛΙΑΣ του Γεωργίου,ΓΑΛΛΟΥ-ΔΑΛΚΑΦΟΥΚΗ ΧΡΥΣΑΝΘΗ του Αθανασίου,ΛΙΟΥΤΑΣ ΑΘΑΝΑΣΙΟΣ του Αχιλλέως,ΠΑΠΑΚΩΣΤΑ-ΠΑΛΙΟΥΡΑ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Δημητρίου,ΣΚΡΕΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΧΑΤΖΗΓΑΚΗΣ ΜΙΧΑΗΛ (ΜΙΚΕΛΗΣ) του Σωτηρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΩΣΤΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΜΙΣΙΑΚΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΜΠΑΜΠΟΥΡΔΑ ΠΑΝΑΓΙΩΤΑ του Αγγελή,ΠΑΡΔΑΛΗΣ ΓΕΩΡΓΙΟΣ του Στεργίου,ΤΣΕΚΟΥΡΑ ΑΓΓΕΛΙΚΗ του Νικολάου,Κίνημα Αλλαγής,ΑΝΑΣΤΑΣΙΟΥ ΦΩΤΕΙΝΗ του Θεόφιλου,ΗΛΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Προκοπίου,ΜΠΛΕΤΣΑΣ ΣΩΤΗΡΙΟΣ του Σεραφείμ,ΝΤΙΝΤΗ ΧΡΙΣΤΟΥΛΑ (ΧΡΥΣΑ) του Κωνσταντίνου,ΠΑΠΑΕΥΘΥΜΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,ΦΑΜΙΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σωτηρίου,Κ.Κ.Ε.,ΚΑΪΚΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΚΑΝΤΑΡΤΖΗΣ ΑΧΙΛΛΕΑΣ του Κλεομένη,ΚΑΠΕΤΗ ΓΕΩΡΓΙΑ του Παντελή,ΛΙΑΤΙΦΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΝΤΟΥΡΛΙΟΣ ΛΑΜΠΡΟΣ του Νικολάου,ΠΕΤΡΑΚΗ ΕΙΡΗΝΗ του Αντωνίου,Ένωση Κεντρώων,ΑΚΡΙΒΟΣ ΑΠΟΣΤΟΛΟΣ του Κωνσταντίνου,ΕΚΟΥΤΣΙΔΗ ΜΑΡΙΑ του Σαββελίου,ΜΑΝΤΖΑΝΑ ΒΑΣΙΛΙΚΗ του Αχιλλέα,ΜΗΤΣΙΟΣ ΜΑΡΙΟΣ του Ναπολέοντος,ΣΑΡΤΑΜΠΑΚΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,Ο.Κ.Δ.Ε.,ΔΡΑΓΟΥΤΑ ΜΑΡΙΑ του Παύλου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΠΑΠΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΠΡΕΚΑΤΕΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΣΑΒΒΟΥΛΙΔΗ ΣΟΥΛΤΑΝΑ του Ευαγγέλου,ΤΑΧΟΥ ΕΥΑΓΓΕΛΙΑ (ΕΥΗ) του Δημητρίου,ΤΣΟΛΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΒΑΣΙΛΕΙΟΥ ΣΤΕΦΑΝΟΣ του Βασιλείου,Ελληνική Λύση - Κ. Βελόπουλος,ΜΑΓΚΟΥΤΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΠΑΝΑΓΟΥ ΚΩΝΣΤΑΝΤΙΑ του Στυλιανού,ΠΙΝΙΑΡΑ ΑΓΓΕΛΙΚΗ του Αθανασίου,ΣΒΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Βασιλείου,ΣΤΑΣΟΣ ΑΧΙΛΛΕΥΣ του Κωνσταντίνου,ΤΣΙΟΥΜΑΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΖΟΛΩΤΑ ΕΥΑΓΓΕΛΗ (ΕΛΙΖΑ) του Γεωργίου,ΜΠΑΛΑΦΑΣ ΓΡΗΓΟΡΙΟΣ του Νικολάου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αποστόλου,ΣΑΠΟΥΝΑ ΕΥΑΓΓΕΛΙΑ του Ιωάννη,ΤΟΥΦΕΞΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΟΥ ΑΝΝΑ του Πολυχρόνη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΖΑΝΑΚΗΣ ΦΙΛΙΠΠΟΣ του Ιωάννη,ΚΑΝΤΑΚΟΥ ΑΝΔΡΟΜΑΧΗ του Φωτίου,Λαϊκή Ενότητα,ΧΟΝΔΡΟΥΛΗΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΜέΡΑ25,ΕΛΕΝΗ ΜΑΡΙΑ του Αναστασίου,ΠΑΝΤΑΖΩΝΗ ΦΩΤΕΙΝΗ (ΦΕΝΙΑ) του Φωκίωνος,ΤΡΙΑΝΤΑΦΥΛΛΟΣ ΝΙΚΟΛΑΟΣ του Θαλή,ΧΟΥΤΟΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,Δημιουργία ξανά - Θ. Τζήμερος,ΓΑΛΑΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΓΚΙΟΞΑΡΗ ΒΑΡΒΑΡΑ του Ελευθερίου,ΜΠΑΡΤΖΙΩΚΑΣ ΑΘΑΝΑΣΙΟΣ του Γρηγορίου,ΣΕΠΥΡΓΙΩΤΗ ΑΓΓΕΛΙΚΗ του Ευσταθίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΖΩΓΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου
24 - Τρικάλων,269 E.T. Δήμου Τρικκαίων,563,349,6,2,8,341,103,35,13,44,36,5,8,158,34,22,42,37,70,48,3,0,1,0,1,0,23,5,3,6,6,10,5,17,9,11,2,0,1,5,4,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,8,4,2,0,1,0,3,3,0,3,1,1,0,0,0,2,2,1,1,0,11,3,4,2,3,2,1,1,0,0,4,4
24 - Τρικάλων,270 E.T. Δήμου Τρικκαίων,565,359,0,4,4,355,105,0,0,0,0,0,0,147,30,22,25,27,76,37,8,1,4,0,3,0,27,2,9,0,3,13,9,37,6,9,5,0,18,5,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,6,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,14,3,5,2,4,3,0,1,2,0,3,2
24 - Τρικάλων,271 E.T. Δήμου Τρικκαίων,532,361,8,3,11,350,119,34,23,36,36,9,14,140,27,14,31,37,78,43,6,2,0,1,3,0,26,3,8,1,8,15,1,21,6,14,2,0,5,4,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,1,1,3,4,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,16,6,3,3,4,0,0,0,0,0,4,3
24 - Τρικάλων,272 E.T. Δήμου Τρικκαίων,533,326,8,0,8,318,75,24,14,30,20,6,14,140,40,11,25,37,71,30,11,1,3,2,6,1,28,5,8,2,6,15,8,18,2,8,3,2,6,6,4,1,0,1,1,0,0,0,9,1,4,1,3,4,0,0,13,5,2,2,3,2,3,0,0,0,0,0,0,0,0,4,2,2,1,0,11,3,1,1,4,2,1,0,2,0,2,1
24 - Τρικάλων,273 E.T. Δήμου Τρικκαίων,534,330,8,7,15,315,110,36,8,41,30,5,9,107,30,9,20,30,48,22,7,2,5,3,2,2,29,6,8,0,7,15,2,22,8,15,0,0,5,4,10,6,6,4,1,0,0,0,0,0,0,0,0,0,0,0,9,3,1,3,3,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0,8,3,2,2,1,8,0,1,5,2,3,2
24 - Τρικάλων,274 E.T. Δήμου Τρικκαίων,542,361,1,3,4,357,107,37,22,36,32,2,11,161,49,16,24,36,84,38,3,0,1,1,2,0,29,4,15,1,2,13,8,23,5,9,4,1,8,6,2,0,1,0,1,1,0,0,7,0,3,0,4,1,1,0,7,2,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,11,3,3,1,2,1,0,0,0,0,4,1
24 - Τρικάλων,275 E.T. Δήμου Τρικκαίων,548,357,4,1,5,352,107,32,9,48,34,6,8,120,37,26,15,36,55,28,7,0,2,1,2,1,33,3,15,0,6,14,3,36,13,11,10,0,15,12,3,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,7,2,0,0,4,0,0,1,0,0,0,1,0,0,0,4,2,1,2,1,17,2,2,1,2,8,1,1,6,1,5,4
24 - Τρικάλων,276 E.T. Δήμου Τρικκαίων,565,366,0,4,4,362,114,43,12,48,31,9,5,153,25,14,37,30,66,53,12,1,4,1,8,3,25,0,8,0,10,10,3,17,7,7,1,0,5,1,5,0,0,0,3,0,0,0,5,0,1,0,1,0,0,0,10,4,4,0,4,1,3,2,0,0,2,2,0,0,0,0,0,0,0,0,7,1,0,1,0,6,1,1,2,1,6,3
24 - Τρικάλων,277 E.T. Δήμου Τρικκαίων,448,293,5,1,6,287,99,29,14,34,28,5,11,89,16,8,33,8,41,18,6,1,3,0,1,2,24,2,13,0,6,16,4,21,7,10,5,4,1,9,4,2,1,0,1,0,4,0,0,1,1,2,1,1,0,0,20,3,13,2,3,0,1,3,0,2,1,1,0,0,0,0,0,0,0,0,13,6,4,0,4,0,0,0,0,0,4,2
24 - Τρικάλων,278 E.T. Δήμου Τρικκαίων,457,284,6,1,7,277,87,26,12,31,28,3,5,98,30,9,25,19,38,19,1,0,1,0,0,0,25,7,12,0,6,14,2,16,4,7,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,22,2,13,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,3,2,2,0,0,0,0,9,5
24 - Τρικάλων,279 E.T. Δήμου Τρικκαίων,300,213,8,1,9,204,64,16,22,37,17,5,4,91,28,12,36,19,31,20,3,1,2,1,1,1,25,0,9,8,5,14,4,10,4,4,0,1,3,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,0,1,0,0,1,1,0,0
24 - Τρικάλων,280 E.T. Δήμου Τρικκαίων,557,393,7,1,8,385,146,24,18,57,61,5,8,134,36,9,40,32,73,22,8,3,3,1,3,2,44,4,13,13,11,14,7,20,4,11,4,1,13,1,6,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,18,2,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,2,1,1,0,2,2,1
24 - Τρικάλων,281 E.T. Δήμου Τρικκαίων,555,351,2,4,6,345,93,26,7,43,29,10,7,138,41,14,37,32,60,35,9,2,4,0,2,0,40,4,23,1,9,15,6,23,9,11,5,0,8,3,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,8,3,0,1,3,1,1,0,0,0,0,0,0,0,0,2,1,1,2,1,14,3,1,3,1,6,1,0,3,2,6,4
24 - Τρικάλων,282 E.T. Δήμου Τρικκαίων,530,342,5,2,7,335,107,26,5,39,39,10,7,135,41,15,43,22,67,26,10,2,1,0,1,2,32,6,18,2,8,10,3,15,7,7,2,1,2,1,7,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15,4,4,3,5,2,1,1,1,0,2,2
24 - Τρικάλων,283 E.T. Δήμου Τρικκαίων,532,347,6,2,8,339,104,48,15,37,38,5,8,126,37,12,30,23,59,27,7,1,1,0,4,2,36,3,25,3,10,23,2,34,14,12,4,1,4,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,1,0,3,5,0,0,2,0,8,5
24 - Τρικάλων,284 E.T. Δήμου Τρικκαίων,536,342,3,3,6,336,71,21,6,24,22,4,4,144,36,19,24,30,70,35,6,1,2,0,2,0,49,10,15,6,14,25,7,25,7,11,3,1,4,8,4,1,1,0,0,1,0,0,5,1,1,0,2,2,1,0,8,2,0,0,0,0,1,4,1,0,0,3,2,0,0,1,1,1,0,0,8,1,1,1,3,6,0,0,4,0,4,1
24 - Τρικάλων,285 E.T. Δήμου Τρικκαίων,551,349,5,1,6,343,119,37,7,34,38,5,16,121,33,13,32,32,46,33,4,1,2,0,1,0,41,5,20,3,12,18,2,19,12,11,0,0,2,3,5,0,1,1,0,0,0,0,7,2,2,1,3,2,0,0,7,1,0,1,0,0,0,2,1,0,0,2,1,0,0,0,0,0,1,1,7,2,1,0,2,4,0,1,3,1,6,4
24 - Τρικάλων,286 E.T. Δήμου Τρικκαίων,542,366,2,0,2,364,130,44,7,49,45,6,8,145,34,89,38,28,70,31,10,5,7,0,3,2,23,2,22,0,6,8,0,25,14,13,0,0,3,7,5,3,2,1,1,1,0,0,3,0,0,0,0,0,0,0,10,4,2,1,1,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,0,1,3,1,1,1,0,2,1
24 - Τρικάλων,287 E.T. Δήμου Τρικκαίων,535,369,4,3,7,362,106,23,15,40,30,6,4,160,33,8,57,28,74,37,3,0,1,0,1,1,35,2,24,2,2,10,1,19,10,9,1,1,2,2,5,3,0,2,1,1,0,0,2,1,1,0,1,1,1,1,13,1,3,6,5,0,1,2,1,1,2,0,0,0,0,1,1,1,0,0,8,4,2,1,1,4,0,1,3,0,3,2
24 - Τρικάλων,288 E.T. Δήμου Τρικκαίων,541,355,12,2,14,341,97,32,8,35,39,5,5,146,35,12,44,30,80,30,8,2,2,1,2,0,40,6,15,1,6,27,6,13,6,8,0,0,1,1,6,4,2,2,2,0,0,0,3,0,0,0,1,0,1,1,12,6,2,1,4,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,8,2,0,0,0,5,1,0,4,0,0,0
24 - Τρικάλων,289 E.T. Δήμου Τρικκαίων,534,341,2,4,6,335,108,35,13,45,49,9,10,155,40,11,28,42,75,28,3,1,1,0,2,1,21,2,8,1,6,8,3,19,5,13,0,2,7,5,8,3,0,3,1,1,1,0,3,1,1,0,2,1,0,0,10,3,0,2,3,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,1,0
24 - Τρικάλων,290 E.T. Δήμου Τρικκαίων,530,388,7,5,12,376,110,28,10,44,33,11,9,150,34,19,41,36,67,31,19,8,4,2,7,1,31,2,18,0,5,9,6,15,8,5,3,2,3,4,6,4,0,2,2,1,0,0,3,0,0,1,1,2,0,0,19,8,3,2,7,0,5,0,0,0,0,0,0,0,0,2,1,0,3,1,12,2,3,1,1,5,1,1,4,0,1,0
24 - Τρικάλων,291 E.T. Δήμου Τρικκαίων,570,370,2,1,3,367,109,46,7,31,45,12,14,148,36,14,27,35,74,32,3,1,0,1,1,0,42,7,8,3,16,22,6,31,13,20,6,1,7,4,3,1,0,0,1,1,0,0,5,0,1,0,5,2,0,0,11,5,2,4,4,0,2,3,0,0,0,1,1,0,0,1,0,1,0,0,5,2,0,2,1,1,0,0,1,0,5,4
24 - Τρικάλων,292 E.T. Δήμου Τρικκαίων,549,339,3,4,7,332,104,30,11,48,39,6,13,128,39,11,26,38,65,36,8,2,4,2,1,1,44,6,21,2,12,17,9,13,6,5,2,0,3,2,5,2,1,1,0,1,0,0,3,1,1,1,1,0,0,0,8,2,3,1,4,0,1,1,0,0,0,0,1,0,0,2,1,1,2,0,9,1,0,1,2,4,0,0,3,1,1,0
24 - Τρικάλων,293 E.T. Δήμου Τρικκαίων,348,234,3,0,3,231,69,13,3,16,34,5,6,92,26,6,26,29,42,15,4,0,4,1,1,1,24,1,12,0,7,13,1,31,17,13,1,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,1,0,0,0,0,0,0,0,1,0
24 - Τρικάλων,294 E.T. Δήμου Τρικκαίων,454,227,9,1,10,217,79,67,4,16,2,3,3,70,18,1,17,16,38,14,2,0,1,0,1,0,20,1,2,0,19,5,1,34,12,19,1,6,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,2,2,1,2,0,0,1,0,2,2
24 - Τρικάλων,295 E.T. Δήμου Τρικκαίων,444,237,1,0,1,236,42,26,3,11,7,1,6,120,31,4,28,35,81,26,1,0,0,0,0,0,37,0,4,2,34,9,0,19,4,8,2,3,6,2,3,3,0,1,1,1,0,0,1,0,0,1,1,0,0,0,4,2,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,1,2,2,0,0,2,0,1,1
24 - Τρικάλων,296 E.T. Δήμου Τρικκαίων,415,220,2,0,2,218,44,34,1,11,2,1,2,105,16,12,17,28,70,19,8,2,6,3,2,0,25,2,10,0,20,2,4,17,2,10,3,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,4,0,0,3,1,3,2
24 - Τρικάλων,297 E.T. Δήμου Τρικκαίων,451,254,2,1,3,251,53,26,2,17,12,3,2,141,54,3,30,18,82,33,2,1,1,0,0,1,21,2,4,1,12,6,1,10,4,7,1,1,2,1,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,3,0,2,0,0,0,0,3,0
24 - Τρικάλων,298 E.T. Δήμου Τρικκαίων,512,286,3,1,4,282,58,27,0,20,12,1,0,171,44,23,20,34,95,44,4,0,2,1,0,0,17,3,5,0,9,4,2,12,5,8,0,0,5,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,11,2,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,1,1,1,0,0,0,0,0,0,0,0
24 - Τρικάλων,299 E.T. Δήμου Τρικκαίων,326,210,1,0,1,209,53,28,2,21,6,0,9,99,19,12,22,9,56,31,1,1,0,0,0,0,32,10,10,1,9,14,1,18,3,12,0,1,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1
24 - Τρικάλων,300 E.T. Δήμου Τρικκαίων,232,164,0,1,1,163,56,17,0,36,23,2,4,68,20,13,10,35,37,11,2,1,1,1,0,0,12,1,4,0,6,10,1,21,10,15,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24 - Τρικάλων,301 E.T. Δήμου Τρικκαίων,451,268,3,2,5,263,91,44,4,38,19,0,9,93,29,5,22,24,49,13,4,0,1,2,0,0,24,2,6,1,3,11,1,19,4,16,1,2,8,2,4,1,0,2,1,0,0,0,4,0,2,0,2,0,0,0,14,6,1,2,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,2,0,0,1,0,4,3
24 - Τρικάλων,302 E.T. Δήμου Τρικκαίων,549,325,3,2,5,320,107,53,12,42,26,6,8,121,22,11,40,26,60,23,3,0,0,1,0,0,33,2,9,0,10,16,7,25,9,17,2,0,13,1,5,0,1,1,0,0,0,0,2,0,2,0,0,1,0,0,9,3,2,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,11,2,1,1,3,2,1,1,1,1,1,0
24 - Τρικάλων,303 E.T. Δήμου Τρικκαίων,418,250,2,2,4,246,49,23,1,12,13,3,1,147,27,10,31,19,109,18,2,1,1,1,0,1,11,2,3,1,7,0,2,22,9,14,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,1,0,2,0,1,1
24 - Τρικάλων,304 E.T. Δήμου Τρικκαίων,402,225,5,3,8,217,36,9,3,9,10,2,4,129,25,8,57,23,79,9,4,0,0,2,0,1,17,1,7,1,3,5,1,16,4,13,1,0,5,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,3,0,1,2,2,1,0,0,0,0,0,0,0,4,1,0,0,2,3,2,2,1,1,1,0
24 - Τρικάλων,305 E.T. Δήμου Τρικκαίων,465,265,2,1,3,262,55,23,6,9,12,3,6,154,27,8,38,24,113,12,4,1,1,2,0,0,15,3,4,0,2,7,4,18,5,13,0,0,7,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,1,1,1
24 - Τρικάλων,306 E.T. Δήμου Τρικκαίων,295,186,3,1,4,182,16,8,0,6,6,0,0,143,39,8,38,33,90,25,7,1,3,1,5,0,8,0,5,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24 - Τρικάλων,307 E.T. Δήμου Φαρκαδόνας,451,151,3,0,3,148,29,9,4,12,5,3,1,81,16,8,45,14,35,14,2,1,0,0,0,1,26,4,13,2,12,8,7,0,0,0,0,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,1,0,0,1,1,0,0,0,0,0,0
24 - Τρικάλων,308 E.T. Δήμου Φαρκαδόνας,465,121,0,0,0,121,34,4,1,19,14,5,1,66,15,3,49,18,18,11,0,0,0,0,0,0,16,0,7,3,3,11,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0
24 - Τρικάλων,309 E.T. Δήμου Φαρκαδόνας,506,154,0,0,0,154,26,9,11,11,4,1,2,88,14,2,57,8,34,25,1,1,0,0,1,0,28,3,9,4,9,14,5,5,5,4,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
24 - Τρικάλων,310 E.T. Δήμου Φαρκαδόνας,472,128,4,0,4,124,33,7,4,19,7,11,5,73,6,7,45,18,26,15,0,0,0,0,0,0,9,0,3,1,3,7,0,4,0,0,2,0,0,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0
24 - Τρικάλων,311 E.T. Δήμου Φαρκαδόνας,464,155,3,1,4,151,51,13,15,19,6,12,9,59,11,2,39,26,21,8,0,0,0,0,0,0,26,7,8,1,11,8,4,8,4,3,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,2,0,0,1,0,0,0
24 - Τρικάλων,312 E.T. Δήμου Φαρκαδόνας,488,166,2,6,8,158,35,9,6,19,9,7,3,93,10,5,35,42,34,32,0,0,0,0,0,0,15,3,7,1,8,7,3,10,4,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
24 - Τρικάλων,313 E.T. Δήμου Φαρκαδόνας,479,150,0,0,0,150,35,12,4,17,6,8,4,65,2,5,48,21,17,14,0,0,0,0,0,0,38,2,27,2,7,25,0,4,3,3,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
24 - Τρικάλων,314 E.T. Δήμου Φαρκαδόνας,521,191,5,1,6,185,41,12,3,19,10,13,2,104,13,9,82,25,30,18,2,2,0,0,0,1,27,6,12,3,3,14,4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0
24 - Τρικάλων,315 E.T. Δήμου Φαρκαδόνας,535,197,4,0,4,193,62,21,6,28,10,19,6,85,18,4,46,23,29,10,3,0,1,1,2,0,30,8,10,3,11,16,2,7,2,5,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
24 - Τρικάλων,316 E.T. Δήμου Φαρκαδόνας,524,265,8,0,8,257,69,9,1,12,8,46,1,136,15,8,74,39,46,14,3,2,2,0,0,0,36,1,3,0,14,20,6,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,0
24 - Τρικάλων,317 E.T. Δήμου Φαρκαδόνας,362,159,0,0,0,159,35,5,1,7,3,16,1,82,24,0,25,28,24,32,3,1,2,0,0,0,31,11,2,5,21,12,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,1,0,0,0,0,0,0,0
